millisecond,x,y,minute,second,zone_played
0,43.25420719739227,25.315138620491183,0,0,defensive
0,17.777554269764998,14.666713617114851,0,0,defensive
0,63.871110486139315,49.60793858541976,0,0,middle
0,64.48725291687319,61.42014188368875,0,0,middle
0,16.51098059161606,71.23507085345875,0,0,middle
0,19.48108845523619,7.12545343597381,0,0,defensive
0,27.397054114771034,43.64045742746899,0,0,middle
0,40.3625007175518,114.84312115831847,0,0,attacking
0,29.643455361080314,61.553363497582126,0,0,middle
0,33.69639260517576,59.412757935792435,0,0,middle
0,48.42501045971731,58.702201933594814,0,0,middle
0,51.38487295273059,87.24347215534377,0,0,attacking
1000,20.525184254610664,17.589687871440617,0,1,defensive
1000,18.77138184727311,8.755518692854267,0,1,defensive
1000,43.18948627923775,25.042242251585108,0,1,defensive
1000,63.55850796326118,52.624053478257494,0,1,middle
1000,66.67002945752085,73.52035167582696,0,1,middle
1000,18.790021897759907,74.67673103261995,0,1,middle
1000,47.333475731853945,56.86557733141854,0,1,middle
1000,25.662038215459816,44.9695239266979,0,1,middle
1000,34.402220307394686,58.0425786826581,0,1,middle
1000,42.17738035698443,115.89030282331994,0,1,attacking
1000,30.782402388789045,69.04412083518059,0,1,middle
1000,53.95492760899232,86.88768052765516,0,1,attacking
2000,20.26662456382247,23.05215869534321,0,2,defensive
2000,19.53004299735396,12.32589776822742,0,2,defensive
2000,64.65614952671261,55.28412332412,0,2,middle
2000,47.43300472523892,57.21015515567539,0,2,middle
2000,44.48039853759373,25.965412509890356,0,2,defensive
2000,36.25969246218965,62.07383240811253,0,2,middle
2000,27.364465093169947,45.53121872474381,0,2,middle
2000,64.53741240511171,94.080477876369,0,2,attacking
2000,22.058124254215947,85.10422872221952,0,2,attacking
2000,45.620210996217914,117.99831232937153,0,2,attacking
2000,70.18458434816318,85.0881139707988,0,2,attacking
2000,36.30250688291492,93.81380611868988,0,2,attacking
3000,66.83096410293807,59.50889887764388,0,3,middle
3000,19.774602678794388,28.16055752243051,0,3,defensive
3000,20.870815171708497,16.13273513937,0,3,defensive
3000,46.68402530614307,27.49921464062048,0,3,defensive
3000,48.2715451488166,60.777094969301906,0,3,middle
3000,31.065331726535092,47.553305516606954,0,3,middle
3000,2.904570333729994,57.02492828389748,0,3,middle
3000,38.12333802418155,65.1538858920267,0,3,middle
3000,42.37272808608608,88.90833731068682,0,3,attacking
3000,72.43137614791124,99.43017711773744,0,3,attacking
3000,25.195617552153898,93.65716584750862,0,3,attacking
3000,49.4863349914703,119.13590132486529,0,3,attacking
3000,69.54184877873482,108.27936365172667,0,3,attacking
4000,69.04065332600288,63.43678468623454,0,4,middle
4000,49.02856641826534,29.672004451807553,0,4,defensive
4000,63.36453604740975,29.788043333001,0,4,defensive
4000,22.862617737958033,19.331809706439486,0,4,defensive
4000,49.600798215781026,65.88202738257615,0,4,middle
4000,33.91655379196114,51.593107617639504,0,4,middle
4000,26.48946561846155,100.73902437817172,0,4,attacking
4000,18.685200461468845,34.00188112910172,0,4,defensive
4000,39.40983880392233,68.32086671658686,0,4,middle
4000,7.154605030713852,61.01397412210086,0,4,middle
4000,72.97459160016915,114.39491068455027,0,4,attacking
4000,47.43705227905892,98.30198839390577,0,4,attacking
4000,70.44974350444517,118.88605819168652,0,4,attacking
5000,51.41675631527754,31.18899945342325,0,5,defensive
5000,60.456359751532005,28.79990723043973,0,5,defensive
5000,70.72961942439719,66.86290935805869,0,5,middle
5000,24.517763239986948,22.483639677936893,0,5,defensive
5000,40.8694035762185,75.60139465457834,0,5,middle
5000,51.66756707079193,69.46142546934539,0,5,middle
5000,17.966710839240672,38.69218338675361,0,5,defensive
5000,26.725732696488983,106.74089589091658,0,5,attacking
5000,36.530851939485466,56.24359136988539,0,5,middle
5000,10.718034577543296,65.11315779239558,0,5,middle
5000,51.57140660081634,105.59748164583948,0,5,attacking
5000,52.071230678405335,105.62739643501853,0,5,attacking
6000,16.588461068139523,42.34195510434101,0,6,middle
6000,57.54231183975093,28.826317140378308,0,6,defensive
6000,71.87813057324854,70.05739522590306,0,6,middle
6000,26.479542010630958,25.378249073541795,0,6,defensive
6000,51.64203463973227,30.204918059447465,0,6,defensive
6000,54.39425140842987,71.54585340571056,0,6,middle
6000,42.029333975046654,78.8674488441634,0,6,middle
6000,39.59516972494095,59.888570747749526,0,6,middle
6000,24.796079165237515,110.31729819969073,0,6,attacking
6000,13.258844326023416,70.85255706706772,0,6,middle
6000,54.760603848318866,109.13788483988412,0,6,attacking
7000,15.006337963892642,45.21033560378348,0,7,middle
7000,28.1876718561686,28.10735757362346,0,7,defensive
7000,28.149166837591583,1.326541357051795,0,7,defensive
7000,51.243692322722126,27.77374918420061,0,7,defensive
7000,72.95614682640172,73.03360110644671,0,7,middle
7000,55.54377444573623,28.408826967092963,0,7,defensive
7000,57.692191159986564,73.29409803168731,0,7,middle
7000,20.834651254710476,110.12572226971477,0,7,attacking
7000,42.022015536176966,64.05374299013545,0,7,middle
7000,56.966143441096726,108.40573163152101,0,7,attacking
7000,16.34466696020123,74.95299878310661,0,7,middle
7000,76.79519836737568,119.11293180800944,0,7,attacking
7000,42.991111760985625,95.7744636229483,0,7,attacking
7000,57.242300227165906,117.44280028311685,0,7,attacking
8000,49.303089980863305,24.722427111903983,0,8,defensive
8000,28.651928942185872,30.074850610603306,0,8,defensive
8000,13.148406464996391,48.969385338025546,0,8,middle
8000,30.464327679660855,2.000754318345244,0,8,defensive
8000,53.46348267790788,27.33047359850437,0,8,defensive
8000,73.40679223745637,71.05104319794776,0,8,middle
8000,44.295165254934794,67.65174929309171,0,8,middle
8000,40.4660417598987,84.38171223476355,0,8,attacking
8000,60.44030267946981,75.92920607782037,0,8,middle
8000,18.51710492998962,78.5998923816534,0,8,middle
8000,17.907173630364387,109.03358017672883,0,8,attacking
8000,57.00169268023941,105.11491249468803,0,8,attacking
8000,75.32795123141457,112.76103395634598,0,8,attacking
9000,28.743922029445482,30.4464718930152,0,9,defensive
9000,31.429540560618104,2.139935810817974,0,9,defensive
9000,47.07934971021725,23.889881400622386,0,9,defensive
9000,74.47465410120152,69.24533574873591,0,9,middle
9000,62.09545483865962,76.59667175060827,0,9,middle
9000,11.937644204680014,52.91896112234197,0,9,middle
9000,52.35218062031397,26.467680485230048,0,9,defensive
9000,38.152212350007055,90.50807823471972,0,9,attacking
9000,73.76343853677045,103.11427583529726,0,9,attacking
9000,45.25696523141005,69.95143428669613,0,9,middle
9000,55.789894121878106,101.1411261178131,0,9,attacking
9000,20.019439741938484,85.56593151032662,0,9,attacking
9000,14.620373528027182,110.79411111276097,0,9,attacking
10000,27.811262665231254,29.910444848425712,0,10,defensive
10000,44.34986936500629,23.786341520671286,0,10,defensive
10000,52.285409296605906,26.206151781465465,0,10,defensive
10000,31.194667048269924,2.0816946283454882,0,10,defensive
10000,10.484658926394948,54.93197007333178,0,10,middle
10000,75.19685841920528,66.7620303806168,0,10,middle
10000,43.44556950617555,71.08050771535866,0,10,middle
10000,63.57863921778693,77.72474960350205,0,10,middle
10000,19.709877322532606,86.86528912354686,0,10,attacking
10000,36.25433566672832,91.02143330384789,0,10,attacking
10000,74.36702112396203,96.20099769702395,0,10,attacking
10000,12.858944233365444,109.74001359017491,0,10,attacking
10000,52.87230016239728,97.97095266277628,0,10,attacking
10000,53.85049450708641,108.23420297725237,0,10,attacking
11000,27.408473364747827,28.79212363806579,0,11,defensive
11000,41.872841874995466,23.380472431814027,0,11,defensive
11000,30.515010864555915,1.913170802760746,0,11,defensive
11000,51.26936677321407,26.742052116411656,0,11,defensive
11000,8.175944435119026,53.09186548130927,0,11,middle
11000,35.01435956538115,87.59571591302006,0,11,attacking
11000,64.6861777604254,77.852952610452,0,11,middle
11000,74.89311435841563,62.959139109794044,0,11,middle
11000,74.48502151975799,86.07002319946092,0,11,attacking
11000,50.17733053923045,94.23329875687375,0,11,attacking
11000,41.83290334777388,70.88074543735686,0,11,middle
11000,17.6059792621949,87.35330678936006,0,11,attacking
